BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2016-03-09,Yandex clA,YNDX,2197,109842225.0,1001.0,991.0,1009.0,994.0,999.0,994.0,109964,999.0,999.0,994.0,109842225.0,109842225.0,109842225.0,,3,SUR,-2.55
TQBR,2016-03-10,Yandex clA,YNDX,2307,94709751.5,990.0,976.0,998.0,978.5,987.5,978.5,95908,987.5,987.5,978.5,94709751.5,94709751.5,94709751.5,,3,SUR,-1.56
TQBR,2016-03-11,Yandex clA,YNDX,2180,82921136.5,986.5,973.0,993.0,979.0,981.5,979.0,84480,981.5,981.5,979.0,82921136.5,82921136.5,82921136.5,,3,SUR,0.05
TQBR,2016-03-14,Yandex clA,YNDX,3310,223583222.0,993.0,985.5,1035.5,1023.0,1013.0,1023.0,220667,1013.0,1013.0,1023.0,223583222.0,223583222.0,223583222.0,,3,SUR,4.49
TQBR,2016-03-15,Yandex clA,YNDX,2134,111620160.0,1033.0,995.5,1039.5,1004.0,1020.0,1004.0,109439,1020.0,1020.0,1004.0,111620160.0,111620160.0,111620160.0,,3,SUR,-1.86
TQBR,2016-03-16,Yandex clA,YNDX,3060,134841829.5,1000.0,997.5,1039.5,1021.0,1016.0,1021.0,132707,1016.0,1016.0,1021.0,134841829.5,134841829.5,134841829.5,,3,SUR,1.69
TQBR,2016-03-17,Yandex clA,YNDX,1750,69601196.5,1040.0,1022.0,1044.0,1032.0,1035.0,1032.0,67243,1035.0,1035.0,1032.0,69601196.5,69601196.5,69601196.5,,3,SUR,1.08
TQBR,2016-03-18,Yandex clA,YNDX,1579,63807519.0,1040.0,1021.5,1049.0,1034.5,1038.0,1034.5,61476,1038.0,1038.0,1034.5,63807519.0,63807519.0,63807519.0,,3,SUR,0.24
TQBR,2016-03-21,Yandex clA,YNDX,1387,46190551.5,1033.5,1020.0,1037.5,1022.0,1028.5,1022.0,44912,1028.5,1028.5,1022.0,46190551.5,46190551.5,46190551.5,,3,SUR,-1.21
TQBR,2016-03-22,Yandex clA,YNDX,1439,51683526.0,1026.0,1005.0,1027.0,1023.5,1015.5,1023.5,50907,1015.5,1015.5,1023.5,51683526.0,51683526.0,51683526.0,,3,SUR,0.15
TQBR,2016-03-23,Yandex clA,YNDX,1014,42869682.5,1025.5,1018.5,1035.0,1020.5,1028.0,1020.5,41697,1028.0,1028.0,1020.5,42869682.5,42869682.5,42869682.5,,3,SUR,-0.29
TQBR,2016-03-24,Yandex clA,YNDX,821,29088402.5,1028.0,1018.0,1032.0,1028.0,1024.0,1028.0,28409,1024.0,1024.0,1028.0,29088402.5,29088402.5,29088402.5,,3,SUR,0.73
TQBR,2016-03-25,Yandex clA,YNDX,313,6650922.0,1029.5,1026.5,1037.0,1032.5,1032.0,1032.5,6445,1032.0,1032.0,1032.5,6650922.0,6650922.0,6650922.0,,3,SUR,0.44
TQBR,2016-03-28,Yandex clA,YNDX,1328,39015617.0,1035.0,1001.0,1040.5,1013.0,1013.5,1013.0,38499,1013.5,1013.5,1013.0,39015617.0,39015617.0,39015617.0,,3,SUR,-1.89
TQBR,2016-03-29,Yandex clA,YNDX,1191,50321741.5,1022.0,1006.0,1036.0,1036.0,1023.5,1036.0,49125,1024.5,1024.5,1036.0,50321741.5,50321741.5,50321741.5,,3,SUR,2.27
TQBR,2016-03-30,Yandex clA,YNDX,2386,73244693.5,1039.0,1036.0,1061.0,1041.5,1046.0,1041.5,70012,1046.0,1046.0,1041.5,73244693.5,73244693.5,73244693.5,,3,SUR,0.53
TQBR,2016-03-31,Yandex clA,YNDX,1748,59899243.5,1043.5,1015.0,1050.0,1022.0,1033.5,1022.0,57981,1033.0,1033.0,1022.0,59899243.5,59899243.5,59899243.5,,3,SUR,-1.87
TQBR,2016-04-01,Yandex clA,YNDX,1067,42482474.5,1025.0,1014.0,1035.0,1028.0,1022.0,1028.0,41564,1022.0,1022.0,1028.0,42482474.5,42482474.5,42482474.5,,3,SUR,0.59
TQBR,2016-04-04,Yandex clA,YNDX,1112,33926002.5,1039.0,1030.0,1042.5,1033.0,1037.5,1033.0,32692,1037.5,1037.5,1033.0,33926002.5,33926002.5,33926002.5,,3,SUR,0.49
TQBR,2016-04-05,Yandex clA,YNDX,963,34955617.5,1033.0,1023.0,1046.0,1039.0,1033.0,1039.0,33833,1033.0,1033.0,1039.0,34955617.5,34955617.5,34955617.5,,3,SUR,0.58
